epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.6342,0.94616,2.56384,1.41081,0.00333,1,0.98493,0.85022,0.37653,2.74007,0.94263,0.00018,0.00018,0.00018
2,12.7869,0.54605,1.19396,1.10186,0.99843,1,0.995,0.87811,0.47088,2.30786,1.13922,0.000378746,0.000378746,0.000378746
3,15.7996,0.52037,0.98032,1.0796,1,0.79805,0.9826,0.90675,0.41895,1.98818,0.99051,0.000576172,0.000576172,0.000576172
4,18.9072,0.51655,0.93378,1.07673,0.99513,1,0.995,0.91696,0.39802,1.76903,0.92877,0.000772278,0.000772278,0.000772278
5,22.0132,0.54816,0.91614,1.07154,1,0.99572,0.995,0.84905,0.64746,1.61177,1.29226,0.000967064,0.000967064,0.000967064
6,25.124,0.60214,0.87238,1.12062,0.87571,0.972,0.96542,0.7718,0.70639,1.64985,1.45486,0.00116053,0.00116053,0.00116053
7,28.5196,0.53565,0.81035,1.06133,0.78689,0.89143,0.90724,0.59411,0.75551,1.85298,1.24001,0.00135268,0.00135268,0.00135268
8,31.7231,0.57322,0.85947,1.07947,1,0.99186,0.995,0.86864,0.51645,1.30861,1.13236,0.0015435,0.0015435,0.0015435
9,35.0589,0.61128,0.78596,1.10625,0.89845,0.91554,0.96952,0.69528,1.02536,1.47316,1.50888,0.00173301,0.00173301,0.00173301
10,38.3219,0.61569,0.74702,1.07856,0.53291,0.72414,0.73726,0.30525,1.14289,2.18933,1.79606,0.00192119,0.00192119,0.00192119
11,41.5464,0.55437,0.71416,1.05978,0.76034,0.86207,0.90436,0.36053,1.50477,2.00395,2.0901,0.001934,0.001934,0.001934
12,44.7959,0.53276,0.67735,1.04269,0.52875,0.37931,0.40071,0.18024,1.66577,2.30619,2.06168,0.0019274,0.0019274,0.0019274
13,47.9148,0.51298,0.64142,1.025,0.06508,0.17241,0.0962,0.0277,2.01613,2.56175,2.19068,0.0019208,0.0019208,0.0019208
14,51.1775,0.47294,0.58421,1.02587,0.13081,0.72414,0.19711,0.08922,1.47976,2.44721,1.73821,0.0019142,0.0019142,0.0019142
15,54.3518,0.51542,0.62962,1.06227,0.53741,0.20079,0.37135,0.21392,1.42001,2.35623,1.6497,0.0019076,0.0019076,0.0019076
16,57.609,0.50593,0.61059,1.03312,0.55336,0.27586,0.52326,0.33437,0.93575,2.27436,1.52791,0.001901,0.001901,0.001901
17,60.8066,0.44333,0.53467,1.00136,0.99587,1,0.995,0.85496,0.66334,0.74272,1.18163,0.0018944,0.0018944,0.0018944
18,63.9651,0.45077,0.53165,1.00317,0.99791,1,0.995,0.90935,0.46177,0.62741,0.98001,0.0018878,0.0018878,0.0018878
19,67.1762,0.51026,0.54143,1.04663,0.99712,1,0.995,0.89041,0.4838,0.6446,0.98706,0.0018812,0.0018812,0.0018812
20,70.392,0.4679,0.50944,1.0092,0.98752,1,0.995,0.90894,0.46905,0.60608,1.06467,0.0018746,0.0018746,0.0018746
21,73.6199,0.48324,0.48997,1.01488,0.84177,0.96552,0.97052,0.892,0.47532,0.72891,0.99223,0.001868,0.001868,0.001868
22,76.8046,0.50409,0.51412,1.04057,0.99781,0.96552,0.994,0.91763,0.40351,0.5025,0.96237,0.0018614,0.0018614,0.0018614
23,80.0551,0.46216,0.47999,1.00089,0.99652,1,0.995,0.93151,0.38276,0.41671,0.94305,0.0018548,0.0018548,0.0018548
24,83.2767,0.46702,0.46155,1.01538,0.99751,1,0.995,0.92577,0.40952,0.4255,0.90624,0.0018482,0.0018482,0.0018482
25,86.4378,0.48306,0.45121,1.03874,0.99938,1,0.995,0.95966,0.3427,0.41244,0.85858,0.0018416,0.0018416,0.0018416
26,89.6081,0.47578,0.47242,1.01084,1,0.99692,0.995,0.93249,0.3976,0.51772,0.9492,0.001835,0.001835,0.001835
27,92.7784,0.46463,0.45522,1.0145,1,0.99886,0.995,0.90349,0.47568,0.68628,0.98963,0.0018284,0.0018284,0.0018284
28,96.0446,0.47815,0.43729,1.02393,0.97741,1,0.995,0.89051,0.49882,0.50507,1.03775,0.0018218,0.0018218,0.0018218
29,99.2369,0.46159,0.43507,0.99455,0.99255,1,0.995,0.95257,0.34485,0.45187,0.89986,0.0018152,0.0018152,0.0018152
30,102.531,0.43943,0.407,0.97129,0.99507,1,0.995,0.94284,0.3391,0.38,0.8815,0.0018086,0.0018086,0.0018086
31,105.825,0.40711,0.41028,0.98561,0.99784,1,0.995,0.92874,0.33064,0.28285,0.86808,0.001802,0.001802,0.001802
32,109.474,0.44402,0.43392,1.00942,0.99741,1,0.995,0.93268,0.32926,0.32535,0.85459,0.0017954,0.0017954,0.0017954
33,113.254,0.4215,0.40652,1.00113,0.99709,1,0.995,0.90725,0.41353,0.37353,0.95639,0.0017888,0.0017888,0.0017888
34,117.017,0.43263,0.39675,1.01133,0.9948,1,0.995,0.92954,0.35706,0.34929,0.91465,0.0017822,0.0017822,0.0017822
35,120.761,0.43932,0.4084,0.99989,0.96286,0.96552,0.96378,0.78294,0.7092,0.49817,1.38177,0.0017756,0.0017756,0.0017756
