epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.80272,1.84956,3.93275,1.36563,0.02618,0.37214,0.03873,0.01976,1.68573,3.71227,1.20742,0.00011432,0.00011432,0.00011432
2,7.34559,1.76775,2.99999,1.21904,0.02912,0.53916,0.12904,0.04377,1.71722,3.4297,1.15398,0.000242128,0.000242128,0.000242128
3,9.83827,1.67678,1.97102,1.16947,0.02976,0.58936,0.34341,0.16594,1.66624,2.93765,1.15113,0.000369088,0.000369088,0.000369088
4,12.3426,1.58122,1.60167,1.09935,0.9835,0.10609,0.37837,0.18777,1.73755,2.54837,1.1429,0.000495199,0.000495199,0.000495199
5,14.8093,1.53175,1.42431,1.07938,0.98811,0.09956,0.43337,0.21689,1.65614,2.44692,1.11701,0.00062046,0.00062046,0.00062046
6,17.2705,1.53497,1.22429,1.10205,0.84777,0.23074,0.56765,0.25492,1.70012,2.23689,1.13923,0.000744873,0.000744873,0.000744873
7,19.8966,1.59977,1.24554,1.12976,0.61995,0.42105,0.55994,0.24279,1.71449,2.04414,1.16468,0.000868438,0.000868438,0.000868438
8,22.6755,1.58362,1.18393,1.12221,0.54735,0.57933,0.52743,0.23846,1.70325,1.69321,1.199,0.000991153,0.000991153,0.000991153
9,25.4197,1.5148,1.09976,1.12547,0.60623,0.64864,0.5808,0.25724,1.70937,1.44323,1.25318,0.00111302,0.00111302,0.00111302
10,28.0048,1.50862,1.09435,1.13537,0.68663,0.72984,0.62527,0.28401,1.70169,1.28831,1.24493,0.00123404,0.00123404,0.00123404
11,30.8669,1.52166,1.10314,1.09984,0.59637,0.63012,0.56898,0.27773,1.66115,1.25224,1.21362,0.00135421,0.00135421,0.00135421
12,33.6247,1.47767,1.07013,1.11511,0.59738,0.59043,0.53703,0.27001,1.63681,1.12789,1.23572,0.00137713,0.00137713,0.00137713
13,36.4015,1.54013,1.0694,1.13705,0.58075,0.70003,0.56013,0.27602,1.64353,1.15585,1.2501,0.00137241,0.00137241,0.00137241
