epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.29967,1.86616,3.77657,1.35184,0.02873,0.32006,0.02611,0.01322,1.82661,3.68944,1.31527,0.00011432,0.00011432,0.00011432
2,6.7429,1.87789,2.73958,1.26052,0.02818,0.48224,0.15805,0.06097,1.77484,3.35125,1.24118,0.000242128,0.000242128,0.000242128
3,9.16678,1.85227,1.8205,1.26472,0.02953,0.44314,0.30534,0.14295,1.87762,2.88251,1.29419,0.000369088,0.000369088,0.000369088
4,11.6802,1.7542,1.50278,1.20422,1,0.13664,0.33479,0.16206,1.87429,2.512,1.24223,0.000495199,0.000495199,0.000495199
5,14.09,1.72575,1.40084,1.19402,0.74664,0.11066,0.34765,0.16305,1.8894,2.51515,1.23108,0.00062046,0.00062046,0.00062046
6,16.4618,1.73689,1.35835,1.24631,0.88229,0.17874,0.36921,0.1578,1.93837,2.49002,1.2751,0.000744873,0.000744873,0.000744873
7,18.87,1.74001,1.35122,1.22621,0.71718,0.33338,0.37262,0.17423,1.90876,2.16362,1.28469,0.000868438,0.000868438,0.000868438
8,21.2839,1.73705,1.22495,1.23072,0.52033,0.51738,0.48059,0.20607,1.9293,1.53434,1.31403,0.000991153,0.000991153,0.000991153
9,23.6739,1.65713,1.12984,1.1923,0.56506,0.52324,0.48956,0.21183,1.94671,1.4452,1.35182,0.00111302,0.00111302,0.00111302
10,26.0575,1.68757,1.16944,1.22702,0.6013,0.47834,0.47835,0.21358,1.92979,1.39522,1.37278,0.00123404,0.00123404,0.00123404
11,28.4992,1.79421,1.15223,1.23401,0.59681,0.59287,0.53469,0.22209,1.89099,1.31129,1.34767,0.00135421,0.00135421,0.00135421
12,30.8769,1.70304,1.13586,1.22676,0.51339,0.5411,0.49398,0.21875,1.91806,1.19599,1.37129,0.00137713,0.00137713,0.00137713
13,33.4031,1.7126,1.10749,1.23602,0.47796,0.56461,0.49413,0.21797,1.90576,1.08989,1.37323,0.00137241,0.00137241,0.00137241
14,35.918,1.68404,1.10452,1.24531,0.50211,0.58863,0.52043,0.21826,1.94018,1.1317,1.4016,0.0013677,0.0013677,0.0013677
15,38.6398,1.65872,1.06928,1.24686,0.52045,0.57532,0.5204,0.22718,1.8914,1.11073,1.35396,0.00136298,0.00136298,0.00136298
16,41.1595,1.66221,1.12659,1.20497,0.57255,0.60486,0.55242,0.24919,1.82219,1.09901,1.33139,0.00135826,0.00135826,0.00135826
17,43.5778,1.60742,1.03898,1.17829,0.63934,0.63411,0.59916,0.26285,1.84986,1.10034,1.36335,0.00135355,0.00135355,0.00135355
18,46.0393,1.66182,1.04283,1.18925,0.67488,0.63737,0.6141,0.27641,1.86167,1.11329,1.36973,0.00134883,0.00134883,0.00134883
19,48.5947,1.63784,1.05473,1.25443,0.61947,0.61346,0.57589,0.27457,1.81624,1.11645,1.36473,0.00134412,0.00134412,0.00134412
20,51.1233,1.65165,1.02296,1.20281,0.59269,0.59171,0.56566,0.26529,1.8568,1.11617,1.36918,0.0013394,0.0013394,0.0013394
21,53.611,1.64958,1.0521,1.23115,0.66524,0.59505,0.56358,0.26231,1.89179,1.1146,1.3642,0.00133469,0.00133469,0.00133469
22,56.214,1.64887,1.01427,1.21376,0.6642,0.60559,0.57603,0.27281,1.85778,1.09257,1.34263,0.00132997,0.00132997,0.00132997
23,58.6014,1.62629,1.01779,1.20677,0.63587,0.6237,0.588,0.27858,1.87218,1.09928,1.33851,0.00132525,0.00132525,0.00132525
24,61.1684,1.65255,0.995,1.19601,0.60947,0.62205,0.60016,0.27737,1.87146,1.09008,1.326,0.00132054,0.00132054,0.00132054
25,63.5931,1.63699,0.99057,1.20289,0.67981,0.61649,0.62861,0.29708,1.87803,1.10652,1.31636,0.00131582,0.00131582,0.00131582
26,65.9999,1.6019,0.96997,1.16453,0.66175,0.63485,0.63056,0.30046,1.91014,1.10212,1.33133,0.00131111,0.00131111,0.00131111
27,68.54,1.57429,0.98766,1.17909,0.5732,0.60857,0.57345,0.26793,1.86054,1.06966,1.31967,0.00130639,0.00130639,0.00130639
28,71.0066,1.59959,0.97617,1.185,0.6477,0.61277,0.59036,0.27749,1.88255,1.03303,1.33918,0.00130168,0.00130168,0.00130168
29,73.6677,1.59832,0.98551,1.20404,0.56738,0.64937,0.5645,0.26105,1.92273,1.05005,1.37464,0.00129696,0.00129696,0.00129696
30,76.4806,1.59701,0.95232,1.16976,0.58326,0.64023,0.56512,0.25734,1.90602,1.07896,1.38203,0.00129224,0.00129224,0.00129224
31,79.1923,1.57571,0.9394,1.17923,0.64895,0.62025,0.5977,0.27007,1.88147,1.12376,1.37337,0.00128753,0.00128753,0.00128753
32,82.2086,1.50368,0.91439,1.13291,0.64475,0.61479,0.59716,0.26818,1.90352,1.15982,1.36708,0.00128281,0.00128281,0.00128281
33,85.0095,1.58678,0.95331,1.20861,0.62201,0.64937,0.58692,0.26605,1.92192,1.14683,1.36074,0.0012781,0.0012781,0.0012781
34,88.0235,1.57391,0.9213,1.1611,0.54542,0.58829,0.56126,0.26342,1.9145,1.16462,1.34726,0.00127338,0.00127338,0.00127338
35,90.8799,1.63496,1.0043,1.22499,0.58404,0.58366,0.54625,0.26528,1.87574,1.16076,1.31565,0.00126867,0.00126867,0.00126867
36,93.7041,1.5487,0.95386,1.17765,0.59874,0.59992,0.56354,0.26643,1.92404,1.11911,1.35881,0.00126395,0.00126395,0.00126395
37,96.3991,1.57124,0.92549,1.17074,0.63926,0.60377,0.58674,0.27596,1.86401,1.06784,1.36247,0.00125923,0.00125923,0.00125923
38,99.0737,1.5173,0.9268,1.17454,0.68056,0.62612,0.61458,0.29763,1.84833,1.04675,1.3636,0.00125452,0.00125452,0.00125452
39,102.159,1.51319,0.90973,1.15975,0.67921,0.66742,0.61576,0.28213,1.88826,1.05798,1.37507,0.0012498,0.0012498,0.0012498
