epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.87337,1.51446,3.31851,1.36152,0.03501,0.98724,0.35604,0.1777,1.46735,3.10927,1.25058,0.0001667,0.0001667,0.0001667
2,8.76383,1.43115,2.11121,1.21821,0.80676,0.22357,0.68151,0.37634,1.47893,2.50249,1.27013,0.000348915,0.000348915,0.000348915
3,11.6374,1.44149,1.30069,1.28585,0.90661,0.48195,0.8026,0.4742,1.45718,1.9554,1.22222,0.000529919,0.000529919,0.000529919
4,14.5499,1.40583,1.19145,1.24639,0.84469,0.80084,0.92954,0.53398,1.47698,1.54476,1.25115,0.000709714,0.000709714,0.000709714
5,17.4039,1.37608,1.08258,1.17509,0.89777,0.87557,0.92822,0.47393,1.56425,1.12687,1.30486,0.000888298,0.000888298,0.000888298
6,20.2109,1.37143,1.07949,1.20508,0.89022,0.79207,0.87005,0.51755,1.40277,1.06446,1.22213,0.00106567,0.00106567,0.00106567
7,23.0232,1.38022,1.05489,1.21789,0.94096,0.78717,0.91327,0.50936,1.52,0.99352,1.29471,0.00124183,0.00124183,0.00124183
8,25.7697,1.36233,1.06113,1.23014,0.91345,0.86852,0.94414,0.57039,1.40662,0.96125,1.1922,0.00141679,0.00141679,0.00141679
9,28.6307,1.322,1.01277,1.17234,0.96361,0.91208,0.95654,0.57125,1.4444,0.96528,1.29504,0.00159053,0.00159053,0.00159053
10,31.3909,1.30321,1.00048,1.18425,0.922,0.89105,0.95375,0.56643,1.41822,0.96346,1.31289,0.00161749,0.00161749,0.00161749
11,34.1619,1.28292,0.967,1.20704,0.90042,0.84807,0.91723,0.55426,1.43027,0.9789,1.26305,0.00161199,0.00161199,0.00161199
12,36.9857,1.32221,0.95755,1.20655,0.96348,0.942,0.9651,0.60697,1.34121,0.82586,1.28915,0.00160649,0.00160649,0.00160649
13,39.7597,1.27774,0.93393,1.20484,0.97635,0.9428,0.96886,0.57232,1.42792,0.85156,1.32605,0.00160099,0.00160099,0.00160099
14,42.5781,1.27086,0.91168,1.18955,0.96641,0.94717,0.97185,0.58917,1.37478,0.85582,1.21748,0.00159549,0.00159549,0.00159549
15,45.3865,1.22086,0.86983,1.13971,0.92803,0.93862,0.96816,0.58922,1.37735,0.83849,1.27333,0.00158998,0.00158998,0.00158998
16,48.2104,1.22943,0.88897,1.16817,0.93323,0.91305,0.96096,0.59684,1.33726,0.82578,1.24021,0.00158448,0.00158448,0.00158448
17,51.0103,1.20806,0.85613,1.16574,0.97247,0.93254,0.96203,0.61951,1.3649,0.86187,1.20523,0.00157898,0.00157898,0.00157898
18,53.8131,1.26068,0.85538,1.17362,0.96313,0.96757,0.96495,0.61784,1.32238,0.83086,1.21181,0.00157348,0.00157348,0.00157348
19,56.6526,1.18427,0.83884,1.13081,0.9464,0.95701,0.97151,0.59905,1.38019,0.80634,1.28428,0.00156798,0.00156798,0.00156798
20,59.4444,1.19547,0.83966,1.15232,0.95666,0.96225,0.97029,0.63487,1.27617,0.76793,1.19062,0.00156248,0.00156248,0.00156248
21,62.3243,1.17195,0.82193,1.15437,0.93743,0.96607,0.96871,0.64707,1.24923,0.75558,1.1737,0.00155698,0.00155698,0.00155698
22,65.1634,1.17253,0.7887,1.13095,0.95727,0.96601,0.98001,0.63763,1.23826,0.76039,1.17608,0.00155148,0.00155148,0.00155148
23,67.996,1.1724,0.7885,1.10538,0.97938,0.9234,0.9828,0.63288,1.26006,0.78398,1.17782,0.00154598,0.00154598,0.00154598
24,70.8407,1.16112,0.78376,1.12201,0.96454,0.94117,0.97915,0.63857,1.27656,0.76028,1.19488,0.00154047,0.00154047,0.00154047
25,73.687,1.13496,0.75998,1.10552,0.98268,0.94488,0.98521,0.63314,1.28627,0.70464,1.24077,0.00153497,0.00153497,0.00153497
26,76.5151,1.14701,0.78768,1.12223,0.97931,0.9601,0.98784,0.63991,1.28417,0.7102,1.21094,0.00152947,0.00152947,0.00152947
27,79.3008,1.13297,0.73103,1.11119,0.97813,0.95899,0.98966,0.65522,1.24476,0.73011,1.189,0.00152397,0.00152397,0.00152397
28,82.1781,1.11726,0.7686,1.10847,0.9755,0.97268,0.9883,0.67539,1.23142,0.67511,1.18364,0.00151847,0.00151847,0.00151847
29,85.0139,1.10724,0.72062,1.10164,0.96302,0.97523,0.98114,0.66753,1.22944,0.66367,1.17473,0.00151297,0.00151297,0.00151297
30,87.8505,1.09921,0.71816,1.08698,0.96895,0.97286,0.97444,0.65062,1.26376,0.66896,1.19625,0.00150747,0.00150747,0.00150747
31,90.7545,1.12315,0.71,1.1057,0.98566,0.94871,0.97515,0.63768,1.26506,0.65917,1.20977,0.00150197,0.00150197,0.00150197
32,93.5578,1.12235,0.69795,1.10012,0.95165,0.96412,0.97017,0.63669,1.2747,0.70836,1.19816,0.00149647,0.00149647,0.00149647
33,96.3998,1.10569,0.69346,1.08126,0.97244,0.96156,0.97818,0.65295,1.2745,0.68288,1.1827,0.00149096,0.00149096,0.00149096
34,99.2246,1.08659,0.70112,1.1039,0.98265,0.9702,0.98219,0.64664,1.2467,0.6431,1.17291,0.00148546,0.00148546,0.00148546
35,102.023,1.10766,0.69567,1.10778,0.98337,0.96613,0.97972,0.63982,1.27206,0.62713,1.19801,0.00147996,0.00147996,0.00147996
36,104.887,1.09178,0.66987,1.08842,0.98036,0.94389,0.9823,0.63875,1.24926,0.62427,1.2131,0.00147446,0.00147446,0.00147446
37,107.695,1.10014,0.68834,1.10371,0.95296,0.95028,0.98409,0.64001,1.24237,0.63303,1.20203,0.00146896,0.00146896,0.00146896
38,110.493,1.09715,0.6923,1.09341,0.95878,0.92149,0.97962,0.63547,1.27738,0.67009,1.21238,0.00146346,0.00146346,0.00146346
39,113.343,1.08558,0.68451,1.08625,0.98193,0.92823,0.9816,0.60461,1.3198,0.66687,1.27281,0.00145796,0.00145796,0.00145796
40,116.193,1.09984,0.68824,1.11075,0.9572,0.92756,0.98157,0.6168,1.29473,0.65739,1.24774,0.00145246,0.00145246,0.00145246
